"","V1","V2"
"1","tumor","c1"
"2","malignant(1=no,2=yes,0=unresolved)","c2"
"3","non-malignant cell type (1=T,2=B,3=Macro.4=Endo.,5=CAF;6=NK)","c3"
"4","C9orf152","c4"
"5","RPS11","c5"
"6","ELMO2","c6"
"7","CREB3L1","c7"
"8","PNMA1","c8"
"9","MMP2","c9"
"10","TMEM216","c10"
"11","TRAF3IP2-AS1","c11"
"12","LRRC37A5P","c12"
"13","LOC653712","c13"
"14","C10orf90","c14"
"15","ZHX3","c15"
"16","ERCC5","c16"
"17","GPR98","c17"
"18","RXFP3","c18"
"19","CTAGE10P","c19"
"20","APBB2","c20"
"21","KLHL13","c21"
"22","KRTAP10-8","c22"
"23","PDCL3","c23"
"24","AEN","c24"
"25","FRG2","c25"
"26","DECR1","c26"
"27","SALL1","c27"
"28","GGT3P","c28"
"29","CADM4","c29"
"30","RPS18","c30"
"31","SLC10A7","c31"
"32","CFHR5","c32"
"33","OR2K2","c33"
"34","BRIX1","c34"
"35","LMAN1","c35"
"36","CHD8","c36"
"37","SUMO1","c37"
"38","MIR941-2","c38"
"39","GP1BA","c39"
"40","MIR1233-2","c40"
"41","BSN-AS2","c41"
"42","BOLA3-AS1","c42"
"43","UQCR11","c43"
"44","DDB1","c44"
"45","MYO9B","c45"
"46","MMP7","c46"
"47","CRNKL1","c47"
"48","MIR618","c48"
"49","XAB2","c49"
"50","RTN1","c50"
"51","KLHL14","c51"
"52","ADAM21P1","c52"
"53","TBX10","c53"
"54","ZBTB12","c54"
"55","UTY","c55"
"56","CENPQ","c56"
"57","ZAR1L","c57"
"58","DTNBP1","c58"
"59","KBTBD8","c59"
"60","ZEB1","c60"
"61","ZG16","c61"
"62","PRKAG2-AS1","c62"
"63","FAT4","c63"
"64","LOC728040","c64"
"65","LOC100216546","c65"
"66","MIER1","c66"
"67","CHD9","c67"
"68","STK16","c68"
"69","ARID3C","c69"
"70","TOB2","c70"
"71","INIP","c71"
"72","BANK1","c72"
"73","OR2V2","c73"
"74","SFTA2","c74"
"75","GRM2","c75"
"76","PROSC","c76"
"77","SPIN2B","c77"
"78","PIR","c78"
