Feature,IncNodePurity
c5,0
c6,0
c8,0
c16,0
c23,0
c24,0
c26,0
c30,0
c34,0
c35,0
c37,0
c43,0
c44,0
c55,0
c58,0
c66,0
c70,0
c71,0
c76,0
c78,0
c79,0
c86,0
c87,0
c98,0
c99,0
c101,0
c104,0
c111,0
c114,0
c115,0
c118,0
c121,0
c129,0
c133,0
c137,0
c138,0
c139,0
c149,0
c151,0
c158,0
c159,0
c162,0
c166,0
c172,0
c175,0
c176,0
c180,0
c185,0
c191,0
c192,0
c194,0
c195,0
c198,0
c201,0
c202,0
c210,0
c212,0
c214,0
c218,0
c219,0
c226,0
c227,0
c228,0
c231,0
c234,0
c240,0
c241,0
c244,0
c247,0
c260,0
c263,0
c270,0
c271,0
c276,0
c282,0
c288,0
c292,0
c293,0
c299,0
c301,0
c303,0
c306,0
c310,0
c317,0
c325,0
c326,0
c329,0
c330,0
c333,0
c339,0
c341,0
c352,0
c357,0
c360,0
c369,0
c372,0
c376,0
c377,0
c380,0
c384,0
c386,0
c390,0
c393,0
c397,0
c403,0
c405,0
c408,0
c414,0
c415,0
c426,0
c428,2.039362569
c430,0
c431,0
c435,0
c440,3.762360783
c442,0
c446,0
c450,0
c454,0
c460,0
c464,0
c470,0
c473,0
c478,0
c485,0
c490,0
c491,0
c494,0
c500,0
c501,0
c502,0
c504,0
c510,0
c512,0
c513,0
c514,0
c520,0
c522,0
c532,0
c535,0.373705406
c543,0
c546,0
c547,0
c550,0
c552,28.41619501
c556,0
c560,0
c563,0.060785141
c564,0
c566,0
c575,0
c576,0
c579,0
c580,0
c583,0
c589,0
c590,0
c592,0
c596,0
c598,0
c599,0
c601,0
c610,0
c618,0
c619,0
c621,0
c625,0
c628,0
c633,0
c635,0
c636,0
c637,0
c639,0
c641,0
c643,0
c647,0
c648,0
c653,0
c658,0
c659,0.001697723
c661,0
c663,0
c669,0
c673,0
c687,0
c689,0
c698,0
c699,0
c704,0
c706,0
c707,0.287776505
c708,0
c728,0
c730,0
c732,0
c735,0
c738,0
c749,0
c750,0
c752,0
c755,0
c763,0
c778,0
c783,0
c794,0
c799,0
c805,0
c817,0
c818,0
c821,0
c825,0
c827,0
c828,0
c831,0
c834,0
c841,0
c842,0
c846,0
c849,0
c859,0
c860,0
c861,0
c862,0
c874,0
c878,0
c884,0
c888,0
c898,0
c901,0
c906,0
c908,0
c916,0
c918,0
c929,0
c936,0
c941,0
c946,0
c948,0
c955,0
c956,0
c959,0
c962,0
c963,0
c965,0
c968,0
c975,0
c976,0
c978,0
c979,0
c980,0
c983,0
c985,0
c992,0
c994,0
c1002,0
c1008,0
c1010,0
c1015,0
c1016,0
c1018,0
c1022,0
c1024,0
c1026,0
c1030,0
c1031,0
c1036,0
c1043,0
c1045,0
c1046,0
c1047,0
c1048,0
c1053,0
c1063,0
c1068,0
c1080,0
c1084,0
c1085,0
c1086,0
c1089,0
c1090,0
c1095,0
c1104,0
c1109,0
c1110,0
c1117,0
c1128,0
c1131,0
c1138,0
c1142,0
c1143,1.573588797
c1145,0
c1147,0
c1148,0
c1164,0
c1169,0
c1172,0
c1183,0
c1186,0
c1191,0
c1197,0
c1203,0
c1205,0
c1211,0
c1221,0
c1224,0
c1236,1.921772756
c1237,0
c1252,0
c1253,0
c1256,0
c1263,0
c1267,0
c1269,0
c1274,0
c1275,0
c1276,0
c1280,0
c1281,0
c1282,0
c1292,0
c1301,0
c1307,0
c1311,0
c1313,0
c1314,0
c1316,0
c1318,0
c1319,0
c1324,0.135214603
c1330,0
c1337,0
c1344,0
c1347,0
c1352,0
c1362,0
c1363,0
c1369,0
c1371,0
c1379,0
c1386,0
c1387,0
c1390,0
c1396,1.630046639
c1398,0
c1399,0
c1402,0
c1403,0
c1405,0
c1408,0
c1414,0
c1418,0
c1425,0
c1427,0
c1429,0
c1432,1.740320041
c1440,0
c1442,0
c1443,0
c1446,0
c1452,0
c1454,0
c1460,0
c1462,0
c1466,0
c1469,0
c1490,0
c1492,0
c1495,0
c1498,0
c1501,0
c1507,0
c1510,0
c1515,0
c1518,0
c1519,0
c1520,0
c1521,0
